,Casos,Defunciones,Casospor100k,Defpor100k,FECHAS
2021-01-05,7549.0,381.0,34.5825249265379,1.7453890577574436,2021-01-05
2021-01-06,6485.0,365.0,29.708262571015805,1.6720918794789157,2021-01-06
2021-01-07,6586.0,341.0,30.17095100889901,1.562146112061124,2021-01-07
2021-01-08,6704.0,367.0,30.711517698703155,1.6812540267637317,2021-01-08
2021-01-09,6464.0,348.0,29.612060024525235,1.59421362755798,2021-01-09
2021-01-10,6896.0,364.0,31.59108383804549,1.6675108058365078,2021-01-10
2021-01-11,8066.0,429.0,36.950939999662836,1.965280592593027,2021-01-11
2021-01-12,6870.0,384.0,31.471975923342878,1.7591322786846675,2021-01-12
2021-01-13,6368.0,375.0,29.17227695485407,1.7179026159029955,2021-01-13
2021-01-14,6319.0,395.0,28.947804346376078,1.8095240887511554,2021-01-14
2021-01-15,7099.0,398.0,32.52104178745431,1.8232673096783794,2021-01-15
2021-01-16,5426.0,381.0,24.856905583705743,1.7453890577574436,2021-01-16
2021-01-17,4224.0,422.0,19.350455065531342,1.933213077096171,2021-01-17
2021-01-18,7237.0,390.0,33.15322995010661,1.7866187205391153,2021-01-18
2021-01-19,6045.0,450.0,27.69259016835629,2.061483139083595,2021-01-19
2021-01-20,7161.0,451.0,32.8050683532836,2.0660642127260025,2021-01-20
2021-01-21,5291.0,392.0,24.238460641980666,1.7957808678239313,2021-01-21
2021-01-22,5279.0,423.0,24.18348775827177,1.937794150738579,2021-01-22
2021-01-23,4376.0,413.0,20.046778259177355,1.8919834143144991,2021-01-23
2021-01-24,3761.0,408.0,17.229417969096442,1.8690780461024592,2021-01-24
2021-01-25,6334.0,436.0,29.016520451012198,1.997348108089883,2021-01-25
2021-01-26,5022.0,443.0,23.006151832172918,2.029415623586739,2021-01-26
2021-01-27,4287.0,368.0,19.639062705003045,1.6858351004061396,2021-01-27
2021-01-28,4305.0,348.0,19.72152203056639,1.59421362755798,2021-01-28
2021-01-29,3617.0,374.0,16.569743364589694,1.7133215422605876,2021-01-29
2021-01-30,3298.0,382.0,15.108380872661545,1.7499701313998515,2021-01-30
2021-01-31,2303.0,372.0,10.550212598465597,1.7041593949757716,2021-01-31
2021-02-01,4053.0,389.0,18.567091472679575,1.7820376468967074,2021-02-01
