,Casos,Defunciones,Casospor100k,Defpor100k,FECHAS
2021-02-06,34.0,2.0,2.3705224143352464,0.13944249496089683,2021-02-06
2021-02-07,40.0,4.0,2.788849899217937,0.27888498992179367,2021-02-07
2021-02-08,47.0,3.0,3.2768986315810755,0.20916374244134525,2021-02-08
2021-02-09,36.0,6.0,2.509964909296143,0.4183274848826905,2021-02-09
2021-02-10,46.0,5.0,3.2071773841006275,0.3486062374022421,2021-02-10
2021-02-11,26.0,5.0,1.8127524344916588,0.3486062374022421,2021-02-11
2021-02-12,32.0,5.0,2.2310799193743494,0.3486062374022421,2021-02-12
2021-02-13,23.0,1.0,1.6035886920503137,0.06972124748044842,2021-02-13
2021-02-14,26.0,5.0,1.8127524344916588,0.3486062374022421,2021-02-14
2021-02-15,56.0,2.0,3.9043898589051116,0.13944249496089683,2021-02-15
2021-02-16,38.0,6.0,2.64940740425704,0.4183274848826905,2021-02-16
2021-02-17,34.0,6.0,2.3705224143352464,0.4183274848826905,2021-02-17
2021-02-18,21.0,5.0,1.4641461970894167,0.3486062374022421,2021-02-18
2021-02-19,41.0,2.0,2.858571146698385,0.13944249496089683,2021-02-19
2021-02-20,33.0,2.0,2.300801166854798,0.13944249496089683,2021-02-20
2021-02-21,18.0,6.0,1.2549824546480715,0.4183274848826905,2021-02-21
2021-02-22,29.0,4.0,2.0219161769330043,0.27888498992179367,2021-02-22
2021-02-23,22.0,2.0,1.5338674445698652,0.13944249496089683,2021-02-23
2021-02-24,35.0,5.0,2.440243661815695,0.3486062374022421,2021-02-24
2021-02-25,24.0,3.0,1.673309939530762,0.20916374244134525,2021-02-25
2021-02-26,31.0,3.0,2.161358671893901,0.20916374244134525,2021-02-26
2021-02-27,24.0,3.0,1.673309939530762,0.20916374244134525,2021-02-27
2021-02-28,29.0,3.0,2.0219161769330043,0.20916374244134525,2021-02-28
2021-03-01,40.0,2.0,2.788849899217937,0.13944249496089683,2021-03-01
2021-03-02,32.0,0.0,2.2310799193743494,0.0,2021-03-02
2021-03-03,29.0,2.0,2.0219161769330043,0.13944249496089683,2021-03-03
2021-03-04,30.0,4.0,2.091637424413453,0.27888498992179367,2021-03-04
2021-03-05,17.0,4.0,1.1852612071676232,0.27888498992179367,2021-03-05
2021-03-06,28.0,3.0,1.9521949294525558,0.20916374244134525,2021-03-06
2021-03-07,20.0,4.0,1.3944249496089685,0.27888498992179367,2021-03-07
2021-03-08,31.0,0.0,2.161358671893901,0.0,2021-03-08
2021-03-09,29.0,2.0,2.0219161769330043,0.13944249496089683,2021-03-09
